Parameter,April,SD.April,May,SD.May,June,SD.June,July,SD.July,August,SD.August,September,SD.September,October,SD.October,Mean,SD.Mean,Sex,n
Mass (kg),3.86,0.63,5.86,1.13,9.11,0.74,10.4,1.15,11.06,0.97,10.56,1.65,11.04,0.92,,,F,6
Culmen (mm),84,4.3,105.3,5.1,131.2,3.9,146.8,2.8,154.3,3.6,162.6,4.5,164.2,4.7,,,F,6
Wing length (mm),89,7.7,143.7,16.6,222,17.1,281.3,12,320.2,18.9,502.8,20.4,627,15.2,,,F,6
Absolute TBW (L),2.01,0.31,3,0.44,4.63,0.2,4.88,0.46,5.04,0.24,4.82,0.49,4.76,0.25,,,F,6
Mass-specific TBW (%),52.2,2.7,51.6,3.3,50.8,3.1,47.1,3.7,45.8,3.1,46,4.4,43.4,4.6,,,F,6
Absolute VO2 (mL/h),2101,428,2857,526,4454,448,4804,1050,4369,495,3894,820,2899,563,,,F,6
Mass-specific VO2 (mL/kg/h),551,111,490,44,491,58,461,80,398,56,367,30,262,38,,,F,6
Mass (kg),4.19,0.91,7.54,1.19,10.14,1.55,11.48,1.58,12.47,0.54,12.9,2.02,12.76,1.5,,,M,4
Mass (% females),108,24,129,20,111,17,110,15,113,5,122,19,116,14,116,7,M,4
Culmen (mm),80.1,1.9,108,5.4,134.1,8.4,151,5.9,160.2,8.2,168.8,8.8,169.9,8.3,,,M,4
Culmen (% females),95,2,103,5,102,6,103,4,104,5,104,5,103,5,102,3,M,4
Wing length (mm),89.5,2.6,148.8,11.4,227,15.1,299,20.8,361.5,27.9,554.5,34,666.8,12.9,,,M,4
Wing (% females),101,3,104,8,102,7,106,7,113,9,110,7,106,2,106,4,M,4
Absolute TBW (L),2.12,0.35,3.74,0.52,5.06,0.54,5.42,0.52,5.85,0.23,5.89,0.62,5.57,0.42,,,M,4
Absolute TBW (% females),105,17,125,17,109,12,111,11,116,5,118,15,117,9,115,7,M,4
Mass-specific TBW (%),50.9,2.6,49.7,2.4,50.2,2.6,47.5,3.2,47,2.8,45.9,3.2,43.9,3.4,,,M,4
Mass-specific TBW (% females),97.6,4.9,96.3,4.7,98.7,5,101,7,103,6,100,7,101,8,99.6,2.2,M,4
Absolute VO2 (mL/h),2276,546,4955,872,4977,677,5414,1271,5332,667,4902,883,3530,1178,,,M,4
Absolute VO2 (% females),113,27,179,32,112,15,111,26,123,15,129,23,115,39,126,25,M,4
Mass-specific VO2 (mL/kg/h),560,183,670,174,493,30,471,72,429,65,379,10,274,67,,,M,4
Mass-specific VO2 (% females),102,33,136,35,99,6,100,15,109,16,105,3,101,25,107,13,M,4
